,0
0,coupe
1,sorbet
2,chariot
3,desserts
4,l’assiette
5,gourmande
6,l’assiette
7,fruits
8,mer
9,"crabe,"
10,"huître,"
11,"langoustine,"
12,"bulots,"
13,crevettes
14,grises
15,royales)
16,petite
17,assiette
18,fruits
19,mer
20,pince
21,"crabe,"
22,"bulots,"
23,crevettes
24,royales)
25,aïoli
26,bulots
27,salade
28,d’endives
29,soupe
30,"poissons,"
31,maison
32,salade
33,"césar,"
34,oeuf
35,parfait
36,volaille
37,fumée
38,wok
39,crevettes
40,royales
41,petits
42,légumes
43,l’aigre
44,doux
45,huîtres
46,fines
47,claires
48,n°3
49,blainville
50,huîtres
51,fines
52,claires
53,n°3
54,blainville
55,huîtres
56,gratinées
57,safran
58,piment
59,d’espelette
60,foie
61,gras
62,"canard,"
63,chutney
64,poivre
65,"timur,"
66,brioche
67,maison
68,saumon
69,fumé
70,"ficelle,"
71,perle
72,citron
73,salade
74,d’endive
75,demi
76,homard
77,"d’audreselles,"
78,mousseline
79,céleri
80,fèves
81,l’assiette
82,fruits
83,mer
84,"crabe,"
85,"huître,"
86,"langoustine,"
87,"bulots,"
88,crevettes
89,grises
90,royales)
91,petite
92,assiette
93,fruits
94,mer
95,pince
96,"crabe,"
97,"bulots,"
98,crevettes
99,royales)
100,aïoli
101,bulots
102,salade
103,d’endives
104,soupe
105,"poissons,"
106,maison
107,salade
108,"césar,"
109,oeuf
110,parfait
111,volaille
112,fumée
113,wok
114,crevettes
115,royales
116,petits
117,légumes
118,l’aigre
119,doux
120,huîtres
121,fines
122,claires
123,n°3
124,blainville
125,huîtres
126,fines
127,claires
128,n°3
129,blainville
130,huîtres
131,gratinées
132,safran
133,piment
134,d’espelette
135,foie
136,gras
137,"canard,"
138,chutney
139,poivre
140,"timur,"
141,brioche
142,maison
143,saumon
144,fumé
145,"ficelle,"
146,perle
147,citron
148,salade
149,d’endive
150,demi
151,homard
152,"d’audreselles,"
153,mousseline
154,céleri
155,fèves
156,l’assiette
157,fruits
158,mer
159,"crabe,"
160,"huître,"
161,"langoustine,"
162,"bulots,"
163,crevettes
164,grises
165,royales)
166,petite
167,assiette
168,fruits
169,mer
170,pince
171,"crabe,"
172,"bulots,"
173,crevettes
174,royales)
175,aïoli
176,bulots
177,salade
178,d’endives
179,soupe
180,"poissons,"
181,maison
182,salade
183,"césar,"
184,oeuf
185,parfait
186,volaille
187,fumée
188,wok
189,crevettes
190,royales
191,petits
192,légumes
193,l’aigre
194,doux
195,huîtres
196,fines
197,claires
198,n°3
199,blainville
200,huîtres
201,fines
202,claires
203,n°3
204,blainville
205,huîtres
206,gratinées
207,safran
208,piment
